Sample	bin	fraction_ave	size	strain	Ribosomes
IP_FLAG-Upf1_CHX-	82	0.00994078650433625	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	49	0.00887784973590214	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	66	0.0125537023233159	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	94	0.0131431108420187	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	7	0.00219375490178027	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	25	0.00749259734573321	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	28	0.00922656311148479	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	29	0.00749442753563654	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	39	0.0105852650586278	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	46	0.00960369040374127	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	55	0.0111343536491852	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	68	0.00960500677583815	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	73	0.0101457998091137	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	76	0.0151851784063959	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	86	0.00995127338014972	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	87	0.0105873507012705	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	92	0.0117026190852107	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	98	0.00882688733043746	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	65	0.0150250869234944	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	91	0.0134813539836602	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	44	0.00868618113245438	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	57	0.0137919358373014	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	58	0.0110005767107702	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	75	0.0131012161767093	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	79	0.0175889400067294	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	32	0.0078398553895855	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	90	0.0129329152582151	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	16	0.00499110177395569	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	18	0.0043353837151771	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	19	0.00496229344490897	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	26	0.00579063930897301	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	31	0.00898145204755672	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	42	0.00875064092842689	M	FLAG-UPF1	IP
