,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YPR008W_mRNA,6528.85,9395.91,9315.02,8638,17929.43,8962.75,6639,2949.01,16166.96,16105.98,19371.02,14967.57,10369.88,11217.05,14321,17371.92,24467.9,19408.04,23111.92,14744.22,13795.25,15255.4
YFL031W_mRNA,6622.46,655.29,5596.96,227.5,1488.16,1257.21,3057.48,6266.9,511.74,1005.45,575.65,592.23,300.88,543.28,269.61,539.4,283.97,254.04,523.6,239.28,387.77,554.91
YFL031W_pre-mRNA,29516.49,130488.32,56629.17,113610.1,115994.32,133864.21,35707.05,32721.7,95707.58,112071.22,99321.67,107080.42,81506.66,69828.41,102244.7,109871.43,107309.08,95177.88,112140.92,89537.17,96774.34,117335.92
YPR005C_mRNA,882.29,1705,1444,1516,1830.03,920,793,353,3069.91,2766,4431.03,3594,2118,4587,4233,6061,2505,1856,2106,4582,5473,5988
YJL165C_mRNA,8065.33,14766.94,14964.85,12447,26042.87,13124.47,11293.96,4570.95,24416.33,24130.92,24888.69,20471.92,15094.95,17214,18356,21838,29255.95,22681.08,25969.25,18809,19630.59,21786.03
YOL089C_mRNA,3678.06,8130,7404,6806.87,11963.66,6609,5334.19,2504,12272.81,11346.35,8149,6212,4967,6420,6097,7386.12,10806.64,8294.61,9587.25,6947,8076.32,8509.8
YJR069C_mRNA,3778,12749.91,7272.35,10545.05,11983.27,11363.32,4935,3660,11356.79,11940.52,3801.09,4729.71,3053.33,3216.12,3632.93,3891.79,5478.62,4670.56,5386.39,3768.44,3887.84,5837.69
YLR256W_mRNA,15756.35,40842.16,30802.72,37288.44,68131.05,61331.03,33390.44,25901.23,49558.05,45508.94,44841.94,41072.55,28878.93,30659.1,34411.53,43876.22,66641.46,60534.41,65319.2,37523.49,43279.64,48725.09
YGL237C_mRNA,1295,2153,2122,1806,3990.85,2026,1472,687,3290.49,3593.7,3540,3674,2450,2158,2678.93,3368.03,4442.21,3691,4277.03,3019,2654.99,3070
YBL021C_mRNA,1123,2365.04,2072,2165,3278.28,1820,1253,578,3079,3389,2283,1568,1406,941,1770,1527,2269,1864.02,2026,1412,1593,1877
YKL109W_mRNA,5060.77,7289.64,8827.65,6857.8,12945.25,6326.92,5049.44,1759.63,19008.8,16809.58,16286.13,12225.7,8604.09,13555,14051.97,19913.11,16448.44,11701.89,13602.37,13123.01,13180.09,16123.07
YOR358W_mRNA,1778.81,4174.88,3245.84,3496,3999.93,2253.17,1708,836.05,5219.18,5508.01,4205,3844.47,2522,4076.32,3950,5733.06,2959.91,2550.05,2766.7,4142.04,4335,5520.12
YMR290C_mRNA,9367.32,29846.92,17236.45,24749.33,28205.65,30574.87,12547.38,11163,24764.85,24724.46,31420.8,30671.96,21636,22059.11,23362.01,27592.31,48789.13,36535.01,43423.75,26045.98,27849.69,32443.47
YPL001W_mRNA,2763,6044.05,4787.59,4878.11,8564.46,5221,3618.25,1964.98,9353.35,8125.06,5265,5878,3389,4851,4058,5820.97,7265,5456.99,6479,3661.01,4752,6168
YEL056W_mRNA,3236.75,7440.78,6258,6300,10180.81,6620.8,4530,2502.02,9788.99,9557.18,9477.74,9157,6136.1,7787,7991,10065,12222.14,9667.79,11949.85,8681,8376.69,10129.98
YCL026C-B_mRNA,323,1034,553,805,919,1011.02,324,269,815,878,806,695,588,523,743,613,872,752,981,478,855,982
YKR084C_mRNA,7083.05,17275.6,12725,14948.93,19327.42,15315.47,9114.16,5760,19389.99,19243.85,13394.96,11358.98,8813,9269.64,10060.95,12564,16183.15,12717,14926.86,11534.44,11723,13548.75
YDL223C_mRNA,1218.01,2849.61,2271,2323,3355,1827.44,1524,769,4423.65,4516.34,9093.89,7105.77,4927.03,9981.67,11995.08,14013.79,6734.28,5805.33,6765.8,12314.3,13902.8,15410.6
YJL033W_mRNA,11249.36,32115.28,17108.77,27609.82,29923.23,30940.39,13265.92,12074.59,30391.74,27366,22476.53,18054.07,14639.03,15286,15507.83,18966.62,30141,22535,26838.22,17666.01,18294.12,21406.46
YNL281W_mRNA,14489.09,46988.24,27263.91,39826.24,35775.72,34964.46,14967.97,12557.1,39029.69,38928.58,24640.15,23181.01,17197.2,21515.9,21595,25306.21,27615.76,21216,24222.52,26227.43,26934.59,28914.91
YCR065W_mRNA,4802.86,7854.03,8049,6829.9,15999.04,7328.79,5708.01,2373.01,13734.11,13872.66,26609.38,20597.6,14573.02,16263.55,23268.34,25825.44,30141.19,23511.93,27774.57,22310.76,24303.66,24430.77
YLR192C_mRNA,15899.43,40662.03,27163.8,36292.33,36260.68,37389.56,17125.13,13910.88,37915.36,38415.6,34958.99,36133.35,27013.35,24475.9,27919.25,32184.53,40929.85,32359.61,37537.4,31022.99,34250.23,36173.51
YKL017C_mRNA,2558.81,5100.99,4402,4389.37,7105.23,3929,3215.53,1263,8720,7709.61,5746,5207.89,3140.9,6092.96,6720.02,7838,6469,5026,6205.66,6386.85,6989.49,8316.09
YNL021W_mRNA,6225.31,14094.94,11388.46,11686,17844.12,11556.24,8133,4590.07,19889.18,17969.94,14857.12,11528,9482.74,10567,10122.93,12932.25,17284.85,13291.32,14851,11998.9,12185.01,14053.29
YDR295C_mRNA,3935.08,6052.19,6120.52,5046.99,12069.97,5709.03,5347.89,2008.53,12437.21,11275.83,10259.99,8359.01,5410.19,6859.02,7004.45,9725.13,13596,10887.94,12251.92,8684,8511,9693.02
YPR179C_mRNA,3783.26,6742.37,5819.44,5698.55,10215.64,5454.96,4511.51,2047.42,11589.97,10332.42,6965.88,6141.01,4122.88,5716.88,5361.01,8321.95,9265.01,7505.04,8817.39,5448.14,7105,8295
YDR014W-A_mRNA,77,214,135.33,195,194,145,91,74,334,299,218,196,108,192,239,306,299,212,241,258,213,355
