,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YMR172W_mRNA,1.51,20.95,4.99,35.23,5.65,65.32,4.55,4.7,9.6,3.94,33.93,3.03,32.68,10,30.08,10.91,33.24,7.16,9.67,18.25,8.67,5.31,0,0,0,0,0,58.74,0
YKL084W_mRNA,36.81,100.43,23.12,24.12,18.34,18.51,28.54,11.91,12.4,10.66,29.35,6.14,7.9,2.9,47.54,77.47,66.23,0,0,0,28.14,0,0,0,0,0,0,21.66,0
YPR193C_mRNA,5.1,0,1.2,15,5.72,0,4.19,5.94,5.89,0,0,2.55,6.55,4.82,7.88,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0
YEL066W_mRNA,37.2,43.32,32.86,27.31,33.01,13.97,47.07,55.95,42.95,47.11,66.47,16.3,47.7,54.9,57.42,12.58,56.24,27.34,21.1,0,37.33,8.23,35.46,28.38,0,0,0,0,0
YBR215W_mRNA,0,79.17,4.44,59.9,1.92,30.64,5.16,7.91,5.44,7.44,42.52,0.86,32.69,11.33,68.21,12.36,99.36,12.16,12.52,13.78,0,36.11,0,0,0,147.99,0,0,0
YBR215W_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL155C_mRNA,9.24,2.66,9.79,21.27,10.78,15.46,21.07,28.42,19.65,14.33,31.46,9.83,17.59,25.62,17.48,133.18,45.33,94.23,119.28,204.29,26.48,38.11,133.08,110.1,17.74,6.17,88.52,36.69,187.04
YIL110W_mRNA,69.41,70.75,68.67,70.3,59.12,66.39,66.08,60.34,60.11,64.29,36.19,52.83,60.2,48.51,38.37,32.55,44.54,22.94,20.24,11.16,63.67,73.34,0,0,0,0,0,0,0
YDR138W_mRNA,23.24,20.12,34.56,18.32,40.16,17.3,33.38,34.39,37.31,32.38,36.01,39.28,18.46,22.63,8.89,30.13,4.84,49.87,39.82,5.84,36.64,12.74,83.64,66.93,0,0,0,97.43,0
YDR399W_mRNA,118.57,173.73,122.07,133.18,111.57,164.82,118.95,111.64,149.58,136.02,135.91,127.55,140.67,118.2,135.46,39.61,76.67,129.16,115.66,70.64,115.82,178.68,150.78,134.07,67.48,0,566.2,232.57,0
